Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,Description,MF_Name,MF_PN,S1_Name,S1_PN
BNC1 BNC2 BNC3,3,12/18V,CONN-BNC-TECONN-1-1634612-0,Wickerlib,CONN-BNC-JACK-R/A-50-OHM-TH,wickerlib,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1634612&DocType=Customer+Drawing&DocLang=English,CONN BNC JACK R/A 50 OHM PCB,TE Conn,1-1634612-0,Digikey,A97555-ND
C1,1,33nF,CAP-DISC-D7.5MM-P5MM,Wickerlib,CAP-CER-0.033UF-50V-C0G-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 0.033UF 50V C0G RADIAL,TDK,FK24C0G1H333J,Digikey,445-8490-ND
C10,1,10nF,CAP-DISC-D3MM-P2.5MM,Wickerlib,CAP-CER-10000PF-50V-C0G-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 10000PF 50V C0G RADIAL,TDK,FK18C0G1H103J,Digikey,445-8384-ND
C15 C14,2,22nF,CAP-DISC-D3MM-P2.5MM,Wickerlib,CAP-CER-0.022UF-50V-X7R-RADIAL,wickerlib,http://www.kemet.com/docfinder?Partnumber=C315C223K5R5TA7303,CAP CER 0.022UF 50V X7R RADIAL,Kemet,C315C223K5R5TA7303,Digikey,399-14089-1-ND
C16 C7,2,4.7nF,CAP-DISC-D7.5MM-P5MM,Wickerlib,CAP-CER-4700PF-50V-C0G-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 4700PF 50V C0G RADIAL,TDK,FK28C0G1H472J,Digikey,445-8585-ND
C2 C11,2,100nF,CAP-DISC-D7.5MM-P5MM,Wickerlib,CAP-CER-0.1UF-50V-C0G-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 0.1UF 50V C0G RADIAL,TDK,FK26C0G1H104J,Digikey,445-8532-ND
C3,1,8.2pF,CAP-DISC-D7.5MM-P5MM,Wickerlib,CAP-CER-8.2PF-50V-NP0-RADIAL,wickerlib,http://www.kemet.com/Lists/ProductCatalog/Attachments/52/F3101_GoldMax.pdf,CAP CER 8.2PF 50V NP0 RADIAL,Kemet,C317C829D5G5TA,Digikey,399-8923-ND
C5,1,150pF,CAP-DISC-D3MM-P2.5MM,Wickerlib,CAP-CER-150PF-50V-NP0-RADIAL,wickerlib,http://www.vishay.com/docs/45171/kseries.pdf,CAP CER 150PF 50V NP0 RADIAL,Vishay BC,K151J15C0GF5TL2,Digikey,BC1015CT-ND
C6 C12 C4,3,10uF,CAP-DISC-D3MM-P2.5MM,Wickerlib,CAP-CER-10UF-16V-X5R-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 10UF 16V X5R RADIAL,TDK,FK14X5R1C106K,Digikey,445-8290-ND
C9 C13,2,100uF,CAP-DISC-D7.5MM-P5MM,Wickerlib,CAP-CER-100UF-6.3V-X5R-RADIAL,wickerlib,https://product.tdk.com/info/en/documents/catalog/leadmlcc_conventional_fk_en.pdf,CAP CER 100UF 6.3V X5R RADIAL,TDK,FK20X5R0J107M,Digikey,445-8441-ND
