Ref,Qty,Description,MF,MF PN,S1,S1_PN
BNC1 BNC2 BNC3,3,CONN BNC JACK R/A 50 OHM PCB,TE Conn,1-1634612-0,Digikey,A97555-ND
C1,1,CAP CER 0.033UF 50V C0G RADIAL,TDK,FK24C0G1H333J,Digikey,445-8490-ND
C10,1,CAP CER 10000PF 50V C0G RADIAL,TDK,FK18C0G1H103J,Digikey,445-8384-ND
C15 C14,2,CAP CER 0.022UF 50V X7R RADIAL,Kemet,C315C223K5R5TA7303,Digikey,399-14089-1-ND
C16 C7,2,CAP CER 4700PF 50V C0G RADIAL,TDK,FK28C0G1H472J,Digikey,445-8585-ND
C2 C11,2,CAP CER 0.1UF 50V C0G RADIAL,TDK,FK26C0G1H104J,Digikey,445-8532-ND
C3,1,CAP CER 8.2PF 50V NP0 RADIAL,Kemet,C317C829D5G5TA,Digikey,399-8923-ND
C5,1,CAP CER 150PF 50V NP0 RADIAL,Vishay BC,K151J15C0GF5TL2,Digikey,BC1015CT-ND
C6 C12 C4,3,CAP CER 10UF 16V X5R RADIAL,TDK,FK14X5R1C106K,Digikey,445-8290-ND
C9 C13,2,CAP CER 100UF 6.3V X5R RADIAL,TDK,FK20X5R0J107M,Digikey,445-8441-ND
D1 D2,2,DIODE GEN PURP 50V 1A DO41,Micro Comm,1N4001-TP,Digikey,1N4001-TPMSCT-ND
D3,1,LED BLUE CLEAR 5MM ROUND T/H,Cree Inc,C503B-BCS-CV0Z0461,Digikey,C503B-BCS-CV0Z0461-ND
J1 J4,2,CONN PWR JACK 2.5X5.5MM HIGH CUR,CUI,PJ-202BH,Digikey,PJ-202BH
J2 J5,2,CONN TERM SCREW GREEN 2.54MM 2POS TH,OnShoreTech,OSTVN02A150,Digikey,ED10561-ND
J3,1,CONN JACK STEREO R/A 3PIN 3.5MM,CUI,SJ1-3523N,Digikey,CP1-3523N-ND
L1,1,FIXED IND 3.3UH 575MA 300 MOHM,Bourns,78F3R3J-RC,Digikey,78F3R3J-RC-ND
LAMP1,1,LAMP NEON 6.2MM WIRE TERMINAL,Visual Comm,A9A,Digikey,A9A-ND
Q1 Q2,2,TRANS NPN 45V 0.1A TO-92,Fairchild,BC547BTA,Digikey,BC547BTACT-ND
R10,1,POT 10K OHM 1/5W PLASTIC LINEAR,TT Electronics,P160KN-0QC15B10K,Digikey,987-1301-ND
R11,1,RES 4.7K OHM 1/4W 5% CF MINI,Stackpole,CFM14JT4K70,Digikey,S4.7KQCT-ND
R12,1,RES 2.2K OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT2K20,Digikey,CF14JT2K20CT-ND
R13,1,RES 1K OHM 1/4W 5% CF MINI,Stackpole,CFM14JT1K00,Digikey,S1KQCT-ND
R4,1,RES 3.3K OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT3K30,Digikey,CF14JT3K30CT-ND
R5 R1,2,RES 10M OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT10M0CT-ND,Digikey,CF14JT10M0CT-ND
R6 R2 R3,3,RES 100K OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT100K,Digikey,CF14JT100KCT-ND
R7,1,RES 10 OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT10R0,Digikey,CF14JT10R0CT-ND
R8,1,RES 10K OHM 1/4W 5% CF MINI,Stackpole,CFM14JT10K0,Digikey,S10KQCT-ND
R9 R17,2,RES 33 OHM 1/4W 5% CARBON FILM,Stackpole,CF14JT33R0,Digikey,CF14JT33R0CT-ND
U1,1,IC REG LDO 9V 1A MC7809 TO220AB,ON Semi,MC7809CTG,Digikey,MC7809CTGOS-ND
U2,1,IC VREF GND REF ADJ TO92,TI,TLE2426ILP,Digikey,296-6549-5-ND
U3,1,IC AUDIO PWR AMP LOW VOLT 8-DIP,NJR,NJM386D,Digikey,NJM386D-ND
U4,1,IC OPAMP JFET 3MHZ DIP8,TI,TL081CP,Digikey,296-7203-5-ND
