Location,MPN/Seeed SKU,Quantity
BNC1 BNC2 BNC3,1-1634612-0,3
C1,FK24C0G1H333J,1
C10,FK18C0G1H103J,1
C15 C14,C315C223K5R5TA7303,2
C16 C7,FK28C0G1H472J,2
C2 C11,FK26C0G1H104J,2
C3,C317C829D5G5TA,1
C5,K151J15C0GF5TL2,1
C6 C12 C4,FK14X5R1C106K,3
C9 C13,FK20X5R0J107M,2
D1 D2,1N4001-TP,2
D3,C503B-BCS-CV0Z0461,1
J1 J4,PJ-202BH,2
J2 J5,OSTVN02A150,2
J3,SJ1-3523N,1
L1,78F3R3J-RC,1
LAMP1,A9A,1
Q1 Q2,BC547BTA,2
R10,P160KN-0QC15B10K,1
R11,CFM14JT4K70,1
R12,CF14JT2K20,1
R13,CFM14JT1K00,1
R4,CF14JT3K30,1
R5 R1,CF14JT10M0CT-ND,2
R6 R2 R3,CF14JT100K,3
R7,CF14JT10R0,1
R8,CFM14JT10K0,1
R9 R17,CF14JT33R0,2
U1,MC7809CTG,1
U2,TLE2426ILP,1
U3,NJM386D,1
U4,TL081CP,1
